Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;200;Hierro / hierro disuelto;6,84E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
REDES Y NETS LIMITADA;REDES Y NETS LTDA.;4043;ACTIVIDAD NO BIEN ESPECIFICADA;Industria manufacturera;547;Benceno;6,62E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5396982.0;652788.0
EXPORTADORA SANTA CRUZ S A;PACKING LAS MERCEDES;322510;ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS;Producción de alimentos;323;Mercurio;6,60E-07;2017;DS90/2000 del MINSEGPRES;Metropolitana;Santiago;Pudahuel;19.0;6297904.0;331295.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Xileno;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Triclorometano;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Tolueno / metil benceno / Toluol / Fenilmetano;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Tetracloroeteno;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Selenio;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Níquel;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Molibdeno;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
